Suburb;Address;Rooms;Type;Price;Method;SellerG;Date;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;Lattitude;Longtitude;Pool;Other space
Airport West;154 Halsey Rd;3;t;840000.0;PI;Nelson;03/09/2016;13.5;3042.0;3.0;2.0;1.0;303.0;-37.718;144.878;True;jacuzzi/terrace/cinema
Airport West;50 Bedford St;3;h;730000.0;VB;Nelson;03/12/2016;13.5;3042.0;3.0;2.0;1.0;0.0;-377.203;1.448.755;True;jacuzzi/terrace/cinema
Airport West;50 Bedford St;3;h;770000.0;SP;Nelson;04/03/2017;13.5;3042.0;3.0;2.0;1.0;0.0;-377.203;1.448.755;True;jacuzzi/terrace/cinema
Airport West;23 Hart St;2;h;603000.0;S;Nelson;04/03/2017;13.5;3042.0;2.0;1.0;1.0;272.0;-377.294;144.888;True;jacuzzi/terrace/cinema
Airport West;1/80 Hawker St;3;t;700000.0;S;Brad;04/03/2017;13.5;3042.0;3.0;2.0;2.0;239.0;-377.218;1.448.837;True;jacuzzi/terrace/cinema
Airport West;1/37 Hillside Gr;3;h;600000.0;S;Maddison;04/03/2017;13.5;3042.0;2.0;1.0;1.0;290.0;-377.273;1.448.744;True;jacuzzi/terrace/cinema
Airport West;2/49 McIntosh St;2;u;500000.0;VB;Barry;04/03/2017;13.5;3042.0;2.0;1.0;1.0;168.0;-377.215;1.448.864;True;jacuzzi/terrace/cinema
Airport West;54 Marshall Rd;3;h;720000.0;S;Barry;06/08/2016;13.5;3042.0;2.0;1.0;1.0;620.0;-377.173;1.448.872;True;jacuzzi/terrace/cinema
Airport West;36 Roberts Rd;4;h;785000.0;S;Considine;06/08/2016;13.5;3042.0;3.0;1.0;2.0;597.0;-377.259;1.448.792;True;jacuzzi/terrace/cinema
Airport West;11 Harrington Rd;6;h;725000.0;SP;Barry;07/05/2016;13.5;3042.0;6.0;3.0;2.0;976.0;-377.239;1.448.735;True;jacuzzi/terrace/cinema
Airport West;2/252 Parer Rd;2;t;450000.0;S;Barry;07/05/2016;13.5;3042.0;2.0;1.0;1.0;110.0;-377.216;144.871;True;jacuzzi/terrace/cinema
Airport West;3/19 Hart St;2;u;515000.0;S;Barry;07/11/2016;13.5;3042.0;2.0;1.0;1.0;141.0;-377.298;1.448.883;True;jacuzzi/terrace/cinema
Airport West;2/62 Clydesdale Rd;2;u;530000.0;S;Nelson;10/09/2016;13.5;3042.0;2.0;1.0;1.0;120.0;-377.234;1.448.792;True;jacuzzi/terrace/cinema
Airport West;3 Deidre Ct;3;h;895000.0;PI;Rendina;10/09/2016;13.5;3042.0;3.0;1.0;6.0;1063.0;-377.249;1.448.728;True;jacuzzi/terrace/cinema
Airport West;13 Etzel St;3;h;805000.0;S;Nelson;10/12/2016;13.5;3042.0;3.0;1.0;1.0;0.0;-377.217;1.448.783;True;jacuzzi/terrace/cinema
Airport West;1/43 Cameron St;3;u;752000.0;S;Nelson;11/02/2017;13.5;3042.0;3.0;1.0;1.0;265.0;-377.302;1.448.855;True;jacuzzi/terrace/cinema
Airport West;145a Victory Rd;2;u;440000.0;S;Barry;13/08/2016;13.5;3042.0;2.0;1.0;1.0;192.0;-377.177;1.448.787;True;jacuzzi/terrace/cinema
Airport West;241 Parer Rd;5;h;755000.0;PI;Propertyau;14/05/2016;13.5;3042.0;3.0;2.0;2.0;596.0;-377.248;1.448.699;True;jacuzzi/terrace/cinema
Airport West;2/40 Earl St;3;t;700000.0;PI;Brad;15/10/2016;13.5;3042.0;3.0;2.0;2.0;165.0;-37.727;144.887;True;jacuzzi/terrace/cinema
Airport West;180 Parer Rd;3;h;830000.0;S;Barry;16/04/2016;13.5;3042.0;3.0;1.0;2.0;971.0;-377.186;144.876;True;jacuzzi/terrace/cinema
Airport West;4/54 Hawker St;2;u;462500.0;S;Barry;16/07/2016;13.5;3042.0;2.0;1.0;1.0;164.0;-377.218;1.448.863;True;jacuzzi/terrace/cinema
Airport West;43 Hillside Gr;3;h;670000.0;SP;Barry;16/07/2016;13.5;3042.0;3.0;2.0;2.0;657.0;-377.269;1.448.742;True;jacuzzi/terrace/cinema
Airport West;174 Parer Rd;2;h;675000.0;S;Barry;16/07/2016;13.5;3042.0;2.0;1.0;1.0;612.0;-377.187;1.448.765;True;jacuzzi/terrace/cinema
Airport West;138 Victory Rd;3;h;1042000.0;S;Nelson;16/07/2016;13.5;3042.0;3.0;2.0;5.0;612.0;-377.173;1.448.796;True;jacuzzi/terrace/cinema
Airport West;75 King St;3;h;910000.0;S;McDonald;17/09/2016;13.5;3042.0;3.0;1.0;1.0;775.0;-377.231;1.448.835;True;jacuzzi/terrace/cinema
Airport West;6 Kittyhawk St;4;h;773000.0;S;Brad;17/09/2016;13.5;3042.0;5.0;3.0;4.0;531.0;-377.263;1.448.679;True;jacuzzi/terrace/cinema
Airport West;478 Fullarton Rd;3;h;810000.0;PI;Barry;18/03/2017;13.5;3042.0;3.0;3.0;2.0;555.0;-377.285;1.448.694;True;jacuzzi/terrace/cinema
Airport West;144 Marshall Rd;3;h;715000.0;S;Rendina;18/03/2017;13.5;3042.0;3.0;2.0;2.0;422.0;-377.164;1.448.792;True;jacuzzi/terrace/cinema
Airport West;106 Parer Rd;3;h;790000.0;S;Nelson;18/03/2017;13.5;3042.0;3.0;1.0;3.0;614.0;-377.194;1.448.827;True;jacuzzi/terrace/cinema
Airport West;3/7 South Rd;3;t;540000.0;SP;Nelson;18/06/2016;13.5;3042.0;2.0;2.0;1.0;161.0;-377.231;1.448.802;True;jacuzzi/terrace/cinema
Airport West;37 North St;3;t;825000.0;SP;Barry;19/11/2016;13.5;3042.0;3.0;2.0;1.0;293.0;-37.72;1.448.776;True;jacuzzi/terrace/cinema
Airport West;10 Hilbert Rd;3;h;685000.0;S;Barry;22/05/2016;13.5;3042.0;3.0;1.0;1.0;579.0;-377.226;1.448.733;True;jacuzzi/terrace/cinema
Airport West;110 Halsey Rd;3;h;805000.0;S;Barry;22/08/2016;13.5;3042.0;3.0;1.0;1.0;623.0;-377.184;144.882;True;jacuzzi/terrace/cinema
Airport West;2/13 North St;2;u;510000.0;S;Nelson;22/08/2016;13.5;3042.0;2.0;1.0;1.0;141.0;-377.202;1.448.797;True;jacuzzi/terrace/cinema
Airport West;105a Victory Rd;3;h;612000.0;S;Nelson;22/08/2016;13.5;3042.0;3.0;2.0;1.0;212.0;-377.181;1.448.824;True;jacuzzi/terrace/cinema
Airport West;117 Marshall Rd;3;h;662000.0;S;Brad;23/04/2016;13.5;3042.0;3.0;1.0;2.0;612.0;-377.169;1.448.815;True;jacuzzi/terrace/cinema
Airport West;34 Moorna Dr;4;h;978000.0;S;Nelson;24/09/2016;13.5;3042.0;4.0;3.0;2.0;532.0;-377.263;144.869;True;jacuzzi/terrace/cinema
Airport West;33 North St;3;h;720000.0;PI;Nelson;25/02/2017;13.5;3042.0;3.0;1.0;1.0;585.0;-37.72;144.878;True;jacuzzi/terrace/cinema
Airport West;49 Roberts Rd;4;h;765000.0;S;Prof.;27/11/2016;13.5;3042.0;4.0;1.0;2.0;509.0;-377.261;1.448.785;True;jacuzzi/terrace/cinema
Airport West;85 Roberts Rd;4;h;900000.0;S;Harcourts;27/11/2016;13.5;3042.0;4.0;2.0;3.0;628.0;-377.256;1.448.739;True;jacuzzi/terrace/cinema
Albert Park;105 Kerferd Rd;2;h;1275000.0;S;hockingstuart;03/09/2016;3.3;3206.0;2.0;1.0;0.0;120.0;-378.459;1.449.555;True;jacuzzi/terrace/cinema
Albert Park;85 Richardson St;2;h;1455000.0;S;Thomson;03/09/2016;3.3;3206.0;2.0;1.0;0.0;159.0;-37.845;1.449.538;True;jacuzzi/terrace/cinema
Albert Park;112 Beaconsfield Pde;3;h;2850000.0;PI;Buxton;04/03/2017;3.3;3206.0;3.0;2.0;0.0;211.0;-378.481;1.449.499;True;jacuzzi/terrace/cinema
Albert Park;94 Graham St;3;h;1850000.0;S;Greg;04/03/2017;3.3;3206.0;3.0;2.0;0.0;128.0;-378.452;1.449.488;True;jacuzzi/terrace/cinema
Albert Park;396 Montague St;2;h;1436000.0;S;RT;04/03/2017;3.3;3206.0;2.0;1.0;0.0;130.0;-378.431;1.449.565;True;jacuzzi/terrace/cinema
Albert Park;75 Graham St;2;h;1110000.0;S;Marshall;06/08/2016;3.3;3206.0;1.0;1.0;0.0;147.0;-378.444;1.449.484;True;jacuzzi/terrace/cinema
Albert Park;54 Brooke St;2;h;1550000.0;S;Sotheby's;07/05/2016;3.3;3206.0;2.0;1.0;1.0;167.0;-378.405;1.449.521;True;jacuzzi/terrace/cinema
Albert Park;104 Richardson St;4;h;2300000.0;S;Marshall;07/05/2016;3.3;3206.0;4.0;2.0;1.0;153.0;-378.447;1.449.523;True;jacuzzi/terrace/cinema
Albert Park;4a Mills St;3;t;1550000.0;VB;Marshall;07/11/2016;3.3;3206.0;3.0;2.0;2.0;718.0;-378.443;1.449.598;True;jacuzzi/terrace/cinema
Albert Park;1 Moubray St;3;h;1800000.0;VB;Greg;07/11/2016;3.3;3206.0;3.0;2.0;1.0;132.0;-378.415;144.952;True;jacuzzi/terrace/cinema
Albert Park;29 Faussett St;2;h;2120000.0;S;Greg;10/09/2016;3.3;3206.0;2.0;1.0;1.0;199.0;-378.422;1.449.554;True;jacuzzi/terrace/cinema
Albert Park;3 Herbert St;3;h;1800000.0;VB;Cayzer;10/09/2016;3.3;3206.0;3.0;1.0;1.0;253.0;-378.443;1.449.579;True;jacuzzi/terrace/cinema
Albert Park;24 Kerferd Pl;3;h;1800000.0;S;Marshall;10/09/2016;3.3;3206.0;3.0;2.0;1.0;90.0;-378.421;1.449.571;True;jacuzzi/terrace/cinema
Albert Park;44 Draper St;2;h;1810000.0;PI;Greg;10/12/2016;3.3;3206.0;2.0;1.0;0.0;240.0;-378.379;1.449.539;True;jacuzzi/terrace/cinema
Albert Park;2 Dundas Pl;3;h;2615000.0;S;Cayzer;10/12/2016;3.3;3206.0;3.0;2.0;1.0;177.0;-378.415;1.449.585;True;jacuzzi/terrace/cinema
Albert Park;23 Finlay St;5;h;2100000.0;S;Greg;10/12/2016;3.3;3206.0;5.0;2.0;1.0;237.0;-378.436;1.449.557;True;jacuzzi/terrace/cinema
Albert Park;4a Gatehouse La;3;h;1370000.0;S;Greg;12/06/2016;3.3;3206.0;3.0;2.0;2.0;0.0;-378.451;1.449.511;True;jacuzzi/terrace/cinema
Albert Park;60 Brooke St;2;h;1000000.0;S;Cayzer;12/11/2016;3.3;3206.0;2.0;1.0;0.0;288.0;-378.407;1.449.523;True;jacuzzi/terrace/cinema
Albert Park;70 Barrett St;3;h;2575000.0;S;Greg;15/10/2016;3.3;3206.0;3.0;2.0;1.0;228.0;-378.445;1.449.501;True;jacuzzi/terrace/cinema
Albert Park;65 Graham St;2;h;1322500.0;S;Greg;15/10/2016;3.3;3206.0;2.0;1.0;0.0;149.0;-378.443;1.449.481;True;jacuzzi/terrace/cinema
Albert Park;364 Montague St;2;h;1562500.0;S;Greg;15/10/2016;3.3;3206.0;2.0;1.0;0.0;141.0;-378.424;1.449.562;True;jacuzzi/terrace/cinema
Albert Park;86 Mills St;3;h;2000000.0;VB;RT;16/04/2016;3.3;3206.0;3.0;2.0;1.0;211.0;-37.847;1.449.575;True;jacuzzi/terrace/cinema
Albert Park;129 Kerferd Rd;3;h;1900000.0;S;Greg;18/03/2017;3.3;3206.0;3.0;1.0;0.0;209.0;-378.468;1.449.546;True;jacuzzi/terrace/cinema
Albert Park;97 Page St;3;h;3010000.0;S;Greg;18/03/2017;3.3;3206.0;3.0;2.0;0.0;147.0;-378.473;1.449.551;True;jacuzzi/terrace/cinema
Albert Park;55 Withers St;4;h;2800000.0;VB;Cayzer;18/06/2016;3.3;3206.0;4.0;3.0;1.0;327.0;-378.467;1.449.475;True;jacuzzi/terrace/cinema
Albert Park;10/140 Kerferd Rd;2;u;647000.0;S;Greg;22/05/2016;3.3;3206.0;2.0;1.0;1.0;0.0;-37.846;1.449.542;True;jacuzzi/terrace/cinema
Albert Park;55 Merton St;3;h;2100000.0;SP;Marshall;23/04/2016;3.3;3206.0;2.0;1.0;1.0;120.0;-378.427;1.449.546;True;jacuzzi/terrace/cinema
Albert Park;49 Page St;3;h;2000000.0;PI;Marshall;24/09/2016;3.3;3206.0;3.0;1.0;1.0;238.0;-378.461;1.449.528;True;jacuzzi/terrace/cinema
Albert Park;13/52 Moubray St;1;u;442500.0;S;Marshall;25/02/2017;3.3;3206.0;1.0;1.0;0.0;0.0;-378.421;1.449.517;True;jacuzzi/terrace/cinema
Albert Park;115 Page St;4;h;4735000.0;S;Marshall;25/02/2017;3.3;3206.0;4.0;2.0;1.0;330.0;-378.477;1.449.558;True;jacuzzi/terrace/cinema
Albert Park;32 Page St;2;h;1340000.0;S;Greg;25/02/2017;3.3;3206.0;2.0;1.0;0.0;136.0;-37.846;1.449.517;True;jacuzzi/terrace/cinema
Albert Park;34 Richardson St;3;h;1801000.0;S;hockingstuart;25/02/2017;3.3;3206.0;3.0;1.0;1.0;202.0;-378.429;1.449.493;True;jacuzzi/terrace/cinema
Albert Park;2b Dundas Pl;3;h;1532000.0;S;Chisholm;26/07/2016;3.3;3206.0;3.0;3.0;1.0;0.0;-378.415;1.449.585;True;jacuzzi/terrace/cinema
Albert Park;22 Greig St;3;h;3755000.0;S;Greg;26/07/2016;3.3;3206.0;3.0;2.0;2.0;325.0;-378.413;144.95;True;jacuzzi/terrace/cinema
Albert Park;27 Barrett St;4;h;2140000.0;S;Greg;27/06/2016;3.3;3206.0;3.0;2.0;1.0;183.0;-378.434;1.449.495;True;jacuzzi/terrace/cinema
Albert Park;44 Greig St;2;h;1750000.0;S;Marshall;27/11/2016;3.3;3206.0;2.0;1.0;1.0;162.0;-378.416;1.449.488;True;jacuzzi/terrace/cinema
Albert Park;6 Brooke St;2;h;980000.0;S;Greg;28/05/2016;3.3;3206.0;2.0;1.0;0.0;79.0;-378.387;1.449.519;True;jacuzzi/terrace/cinema
Albert Park;227a Danks St;3;h;2030000.0;S;hockingstuart;28/08/2016;3.3;3206.0;3.0;2.0;0.0;152.0;-378.488;1.449.551;True;jacuzzi/terrace/cinema
Albert Park;17 Reed St;3;h;1740000.0;PI;Marshall;28/08/2016;3.3;3206.0;3.0;2.0;2.0;147.0;-378.448;1.449.453;True;jacuzzi/terrace/cinema
Albert Park;74 Bridport St;3;h;2800000.0;VB;Buxton;30/07/2016;3.3;3206.0;3.0;3.0;1.0;0.0;-378.399;1.449.577;True;jacuzzi/terrace/cinema
Albert Park;9 Durham St;1;h;985000.0;S;Marshall;30/07/2016;3.3;3206.0;1.0;1.0;0.0;81.0;-378.411;1.449.497;True;jacuzzi/terrace/cinema
Alphington;6 Smith St;4;h;2000000.0;S;Brace;03/09/2016;6.4;3078.0;3.0;2.0;4.0;853.0;-377.707;1.450.318;True;jacuzzi/terrace/cinema
Alphington;5/6 Yarralea St;3;h;1110000.0;S;Jellis;03/09/2016;6.4;3078.0;3.0;2.0;2.0;208.0;-377.854;1.450.325;True;jacuzzi/terrace/cinema
Alphington;136A Fulham Rd;3;h;1492000.0;S;Jellis;04/03/2017;6.4;3078.0;3.0;2.0;2.0;411.0;-377.713;1.450.279;True;jacuzzi/terrace/cinema
Alphington;44 Shiers St;4;h;1717500.0;S;Collins;08/10/2016;6.4;3078.0;4.0;2.0;1.0;599.0;-377.717;145.031;True;jacuzzi/terrace/cinema
Alphington;83 Fulham Rd;5;h;2840000.0;S;Nelson;12/06/2016;6.4;3078.0;5.0;4.0;4.0;809.0;-37.775;1.450.268;True;jacuzzi/terrace/cinema
Alphington;3/19 Harker St;2;u;525500.0;S;Miles;12/11/2016;6.4;3078.0;2.0;1.0;1.0;88.0;-377.791;1.450.306;True;jacuzzi/terrace/cinema
Alphington;4/2 Miller St;2;t;805000.0;S;Miles;12/11/2016;6.4;3078.0;2.0;2.0;3.0;155.0;-377.804;1.450.308;True;jacuzzi/terrace/cinema
Alphington;2/5 Yarana Rd;2;u;465000.0;S;McGrath;12/11/2016;6.4;3078.0;2.0;1.0;1.0;0.0;-377.773;1.450.314;True;jacuzzi/terrace/cinema
Alphington;815 Heidelberg Rd;3;h;2000000.0;PI;hockingstuart;15/10/2016;6.4;3078.0;3.0;3.0;2.0;686.0;-37.78;1.450.341;True;jacuzzi/terrace/cinema
Alphington;44 Naroon Rd;3;h;1540000.0;S;Nelson;16/04/2016;6.4;3078.0;3.0;1.0;2.0;592.0;-377.755;1.450.288;True;jacuzzi/terrace/cinema
Alphington;3/98 Grange Rd;2;u;820000.0;S;Nelson;18/03/2017;6.4;3078.0;2.0;1.0;1.0;183.0;-377.747;1.450.264;True;jacuzzi/terrace/cinema
Alphington;10 Bennett St;4;h;1830000.0;S;Nelson;19/11/2016;6.4;3078.0;4.0;2.0;2.0;606.0;-377.743;1.450.316;True;jacuzzi/terrace/cinema
Alphington;38 Bennett St;4;h;2100000.0;S;Nelson;19/11/2016;6.4;3078.0;4.0;2.0;2.0;575.0;-377.723;1.450.319;True;jacuzzi/terrace/cinema
Alphington;2c Hamilton St;3;h;865000.0;SP;hockingstuart;22/05/2016;6.4;3078.0;3.0;1.0;1.0;180.0;-377.802;1.450.243;True;jacuzzi/terrace/cinema
Alphington;5/5 Yarana Rd;2;u;390000.0;VB;Nelson;22/05/2016;6.4;3078.0;2.0;1.0;1.0;0.0;-377.773;1.450.314;True;jacuzzi/terrace/cinema
Alphington;7/7 Chandler Hwy;2;t;650000.0;SP;Brace;24/09/2016;6.4;3078.0;0.0;1.0;0.0;0.0;-377.848;145.025;True;jacuzzi/terrace/cinema
Alphington;1/14 Fulham Rd;2;u;512000.0;S;Love;25/02/2017;6.4;3078.0;2.0;1.0;1.0;0.0;-377.805;1.450.262;True;jacuzzi/terrace/cinema
Alphington;22 Lowther St;3;h;1165000.0;S;Barry;27/06/2016;6.4;3078.0;3.0;1.0;2.0;979.0;-377.792;145.029;True;jacuzzi/terrace/cinema
Alphington;11 Margaret Gr;4;h;1900000.0;SP;McGrath;27/11/2016;6.4;3078.0;4.0;2.0;2.0;556.0;-377.844;1.450.225;True;jacuzzi/terrace/cinema
Alphington;6 Naroon Rd;3;h;1485000.0;SP;McGrath;28/08/2016;6.4;3078.0;3.0;0.0;0.0;597.0;-377.781;1.450.284;True;jacuzzi/terrace/cinema
Alphington;42 Shiers St;4;h;1950000.0;S;Jellis;30/07/2016;6.4;3078.0;4.0;2.0;3.0;589.0;-377.719;1.450.309;True;jacuzzi/terrace/cinema
Altona;158 Queen St;3;h;520000.0;VB;Greg;03/09/2016;13.8;3018.0;3.0;2.0;1.0;352.0;-37.87;144.825;True;jacuzzi/terrace/cinema
Altona;59 Bracken Gr;5;h;1525000.0;S;Greg;03/12/2016;13.8;3018.0;5.0;3.0;3.0;729.0;-378.721;1.448.105;True;jacuzzi/terrace/cinema
Altona;1/123 Blyth St;2;t;720000.0;S;hockingstuart;04/02/2016;13.8;3018.0;2.0;1.0;2.0;292.0;-378.687;1.448.197;True;jacuzzi/terrace/cinema
Altona;4 Blyth St;3;h;1120000.0;S;Barlow;04/03/2017;13.8;3018.0;3.0;1.0;2.0;506.0;-378.693;1.448.375;True;jacuzzi/terrace/cinema
Altona;20 Linnet St;4;h;780000.0;PI;Sweeney;04/06/2016;13.8;3018.0;4.0;1.0;4.0;655.0;-37.868;1.448.154;True;jacuzzi/terrace/cinema
Altona;29 Rose St;4;h;1780000.0;SP;Greg;04/06/2016;13.8;3018.0;4.0;3.0;6.0;1057.0;-378.681;144.819;True;jacuzzi/terrace/cinema
Altona;1/170 Blyth St;3;u;630000.0;S;Barlow;06/08/2016;13.8;3018.0;2.0;1.0;2.0;311.0;-378.702;1.448.143;True;jacuzzi/terrace/cinema
Altona;5/35 Grieve Pde;2;u;406000.0;SP;hockingstuart;06/08/2016;13.8;3018.0;2.0;1.0;1.0;65.0;-378.693;1.448.171;True;jacuzzi/terrace/cinema
Altona;156 Maidstone St;3;h;660000.0;VB;Greg;07/05/2016;13.8;3018.0;3.0;1.0;1.0;602.0;-378.616;1.448.116;True;jacuzzi/terrace/cinema
Altona;11 Keeshan Ct;3;h;683500.0;S;Greg;07/11/2016;13.8;3018.0;3.0;1.0;1.0;530.0;-378.594;144.817;True;jacuzzi/terrace/cinema
Altona;1/136 Queen St;2;u;580000.0;S;Barlow;08/10/2016;13.8;3018.0;2.0;1.0;1.0;225.0;-378.696;144.827;True;jacuzzi/terrace/cinema
Altona;173 Queen St;3;h;1335000.0;S;hockingstuart;08/10/2016;13.8;3018.0;3.0;1.0;4.0;777.0;-378.697;1.448.249;True;jacuzzi/terrace/cinema
